ID,Title,Subtitle,Genre,Popular,Recommended,Searchterms,Key,Year,Catalogue,Instruments,Movements,Description
10164,"Art of the Fugue, BWV.1080",,Chamber,0,1,,,,1080,,,"The Art of Fugue, or The Art of the Fugue (German: Die Kunst der Fuge), BWV 1080, is an incomplete musical work of unspecified instrumentation by Johann Sebastian Bach. Written in the last decade of his life, The Art of Fugue is the culmination of Bach's experimentation with monothematic instrumental works."
9411,"Brandenburg Concerto no. 1 in F major, BWV.1046",,Orchestral,0,1,,,,1046,,,"The Brandenburg Concertos (BWV 1046–1051) by Johann Sebastian Bach are a collection of six instrumental works presented by Bach to Christian Ludwig, Margrave of Brandenburg-Schwedt, in 1721 (though probably composed earlier). The original French title is Six Concerts avec plusieurs instruments,&#91;1&#93;&#91;a&#93; meaning ""Six Concertos for several instruments"". Some of the pieces feature several solo instruments in combination. They are widely regarded as some of the greatest orchestral compositions of the Baroque era.&#91;2&#93;&#91;3&#93;&#91;4&#93;"
9664,"Brandenburg Concerto no. 2 in F major, BWV.1047",,Orchestral,1,1,,,,1047,,,"The Brandenburg Concertos (BWV 1046–1051) by Johann Sebastian Bach are a collection of six instrumental works presented by Bach to Christian Ludwig, Margrave of Brandenburg-Schwedt, in 1721 (though probably composed earlier). The original French title is Six Concerts avec plusieurs instruments,&#91;1&#93;&#91;a&#93; meaning ""Six Concertos for several instruments"". Some of the pieces feature several solo instruments in combination. They are widely regarded as some of the greatest orchestral compositions of the Baroque era.&#91;2&#93;&#91;3&#93;&#91;4&#93;"
9688,"Brandenburg Concerto no. 3 in G major, BWV.1048",,Orchestral,1,1,,,,1048,,,"The Brandenburg Concertos (BWV 1046–1051) by Johann Sebastian Bach are a collection of six instrumental works presented by Bach to Christian Ludwig, Margrave of Brandenburg-Schwedt, in 1721 (though probably composed earlier). The original French title is Six Concerts avec plusieurs instruments,&#91;1&#93;&#91;a&#93; meaning ""Six Concertos for several instruments"". Some of the pieces feature several solo instruments in combination. They are widely regarded as some of the greatest orchestral compositions of the Baroque era.&#91;2&#93;&#91;3&#93;&#91;4&#93;"
9373,"Brandenburg Concerto no. 4 in G major, BWV.1049",,Orchestral,0,1,,,,1049,,,"The Brandenburg Concertos (BWV 1046–1051) by Johann Sebastian Bach are a collection of six instrumental works presented by Bach to Christian Ludwig, Margrave of Brandenburg-Schwedt, in 1721 (though probably composed earlier). The original French title is Six Concerts avec plusieurs instruments,&#91;1&#93;&#91;a&#93; meaning ""Six Concertos for several instruments"". Some of the pieces feature several solo instruments in combination. They are widely regarded as some of the greatest orchestral compositions of the Baroque era.&#91;2&#93;&#91;3&#93;&#91;4&#93;"
10116,"Brandenburg Concerto no. 5 in D major, BWV.1050",,Orchestral,0,1,,,,1050,,,"Johann Sebastian Bach wrote his fifth Brandenburg Concerto, BWV&#160;1050.2 (formerly 1050),&#91;1&#93; for harpsichord, flute and violin as soloists, and an orchestral accompaniment consisting of strings and continuo. An early version of the concerto, BWV&#160;1050.1 (formerly 1050a),&#91;2&#93; originated in the late 1710s. On 24&#160;March 1721 Bach dedicated the final form of the concerto to Margrave Christian Ludwig of Brandenburg."
9867,"Brandenburg Concerto no. 6 in B flat major, BWV.1051",,Orchestral,0,1,,,,1051,,,"The Brandenburg Concertos (BWV 1046–1051) by Johann Sebastian Bach are a collection of six instrumental works presented by Bach to Christian Ludwig, Margrave of Brandenburg-Schwedt, in 1721 (though probably composed earlier). The original French title is Six Concerts avec plusieurs instruments,&#91;1&#93;&#91;a&#93; meaning ""Six Concertos for several instruments"". Some of the pieces feature several solo instruments in combination. They are widely regarded as some of the greatest orchestral compositions of the Baroque era.&#91;2&#93;&#91;3&#93;&#91;4&#93;"
9334,"Cantata no. 140, ""Wachet auf, ruft uns die Stimme"", BWV.140",,Vocal,1,1,,,,140,,,"Wachet auf, ruft uns die Stimme ('Awake, calls the voice to us'),&#91;1&#93; BWV&#160;140, also known as Sleepers Awake, is a church cantata by Johann Sebastian Bach, regarded as one of his most mature and popular sacred cantatas. He composed the chorale cantata in Leipzig for the 27th Sunday after Trinity and first performed it on 25 November 1731."
9148,"Cantata no. 147: Herz und Mund und Tat und Leben ",,Vocal,1,1,,,,,,,
9231,"Cello Suite no. 1 in G major, BWV.1007",,Chamber,1,1,,,,1007,,,"The six Cello Suites, BWV 1007–1012, are suites for unaccompanied cello by Johann Sebastian Bach (1685–1750). They are some of the most frequently performed solo compositions ever written for cello. Bach most likely composed them during the period 1717–1723, when he served as Kapellmeister in Köthen. The title given on the cover of the Anna Magdalena Bach manuscript was Suites à Violoncello Solo senza Basso (Suites for cello solo without bass)."
9835,"Cello Suite no. 4 in E flat major, BWV.1010",,Chamber,0,1,,,,1010,,,"The six Cello Suites, BWV 1007–1012, are suites for unaccompanied cello by Johann Sebastian Bach (1685–1750). They are some of the most frequently performed solo compositions ever written for cello. Bach most likely composed them during the period 1717–1723, when he served as Kapellmeister in Köthen. The title given on the cover of the Anna Magdalena Bach manuscript was Suites à Violoncello Solo senza Basso (Suites for cello solo without bass)."
9964,"Cello Suite no. 6 in D major, BWV.1012",,Chamber,0,1,,,,1012,,,"The six Cello Suites, BWV 1007–1012, are suites for unaccompanied cello by Johann Sebastian Bach (1685–1750). They are some of the most frequently performed solo compositions ever written for cello. Bach most likely composed them during the period 1717–1723, when he served as Kapellmeister in Köthen. The title given on the cover of the Anna Magdalena Bach manuscript was Suites à Violoncello Solo senza Basso (Suites for cello solo without bass)."
10160,"Christmas Oratorio, BWV.248",,Vocal,0,1,,,,248,,,"The Christmas Oratorio (248a. The date is confirmed in Bach's autograph manuscript. The next complete public performance was not until 17 December 1857 by the Sing-Akademie zu Berlin under Eduard Grell.&#91;1&#93; The Christmas Oratorio is a particularly sophisticated example of parody music.&#91;2&#93; The author of the text is unknown, although a likely collaborator was Christian Friedrich Henrici (Picander)."
